syn2, 800 samples, top_5 | Accuracy: 0.94
syn2, 800 samples, top_5 | Precision: 0.94

syn2, 5000 samples, top_5 | Accuracy: 0.86
syn2, 5000 samples, top_5 | Precision: 0.86

syn2, 5 samples, top_5 | Accuracy: 0.304
syn2, 5 samples, top_5 | Precision: 0.304

syn2, 5000 samples, top_5 | Accuracy: 0.86
syn2, 5000 samples, top_5 | Precision: 0.86

syn2, 5000 samples, top_5 | Accuracy: 0.86
syn2, 5000 samples, top_5 | Precision: 0.86

syn2, 5000 samples, top_5 | Accuracy: 0.86
syn2, 5000 samples, top_5 | Precision: 0.86

syn2, 5000 samples, top_5 | Accuracy: 0.86
syn2, 5000 samples, top_5 | Precision: 0.86

syn2, 5000 samples, top_5 | Accuracy: 0.86
syn2, 5000 samples, top_5 | Precision: 0.86

syn2, 5000 samples, top_5 | Accuracy: 0.86
syn2, 5000 samples, top_5 | Precision: 0.86

syn2, 5000 samples, top_5 | Accuracy: 0.86
syn2, 5000 samples, top_5 | Precision: 0.86

syn2, 5000 samples, top_5 | Accuracy: 0.86
syn2, 5000 samples, top_5 | Precision: 0.86

syn2, 5000 samples, top_5 | Accuracy: 0.86
syn2, 5000 samples, top_5 | Precision: 0.86

